Country Name,Country Code,Year,Value
Carlos Slim & Family,CSAF,2010,53500000000
Carlos Slim & Family,CSAF,2011,69000000000
Carlos Slim & Family,CSAF,2012,73000000000
Carlos Slim & Family,CSAF,2013,72000000000
Carlos Slim & Family,CSAF,2014,77100000000
Carlos Slim & Family,CSAF,2015,50000000000
Carlos Slim & Family,CSAF,2016,54500000000
Carlos Slim & Family,CSAF,2017,67100000000
Carlos Slim & Family,CSAF,2018,67100000000
Bill Gates,BG,2010,53000000000
Bill Gates,BG,2011,56000000000
Bill Gates,BG,2012,61000000000
Bill Gates,BG,2013,67000000000
Bill Gates,BG,2014,76000000000
Bill Gates,BG,2015,79200000000
Bill Gates,BG,2016,75000000000
Bill Gates,BG,2017,86000000000
Bill Gates,BG,2018,90000000000
Warren Buffet,WB,2010,47000000000
Warren Buffet,WB,2011,50000000000
Warren Buffet,WB,2012,44000000000
Warren Buffet,WB,2013,53500000000
Warren Buffet,WB,2014,58200000000
Warren Buffet,WB,2015,72700000000
Warren Buffet,WB,2016,60800000000
Warren Buffet,WB,2017,75600000000
Warren Buffet,WB,2018,84000000000


















